ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,157
F4320335787,Fundamental Research Funds for the Central Universities,428,27
F4320335777,National Key Research and Development Program of China,503,26
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,10
F4320322120,National Research Foundation of Korea,445,8
F4320306076,National Science Foundation,783,7
F4320334627,Engineering and Physical Sciences Research Council,461,7
F4320322843,Natural Science Foundation of Hunan Province,211,7
F4320320879,Deutsche Forschungsgemeinschaft,566,5
F4320321681,"Ministry of Trade, Industry and Energy",192,4
F4320322725,China Scholarship Council,394,4
F4320321543,China Postdoctoral Science Foundation,421,4
F4320321091,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,282,3
F4320321885,Science and Technology Commission of Shanghai Municipality,294,3
F4320323172,Natural Science Foundation of Chongqing,153,3
F4320332180,Defense Advanced Research Projects Agency,327,3
F4320322186,Natural Science Foundation of Hubei Province,225,3
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,3
F4320306077,Boeing,70,3
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,446,3
F4320335353,National Science Foundation of Sri Lanka,213,3
F4320324174,Natural Science Foundation of Shandong Province,251,2
F4320322769,Natural Science Foundation of Jiangsu Province,328,2
F4320307103,Ford Motor Company,75,2
F4320320766,Nanyang Technological University,212,2
F4320338281,Army Research Office,344,2
F4320313620,Hubei Provincial Department of Education,95,2
F4320322327,Knut och Alice Wallenbergs Stiftelse,251,2
F4320334897,Natural Science Foundation of Anhui Province,185,2
F4320322064,Korea Institute for Advancement of Technology,91,2
F4320337504,Research and Development,139,2
F4320321408,Ministry of Education,241,2
F4320328359,"Ministry of Science and ICT, South Korea",129,2
F4320326765,National Centre of Competence in Research Robotics,61,2
F4320321034,New Energy and Industrial Technology Development Organization,154,2
F4320323299,Norges Forskningsråd,266,2
F4320321709,"Ministry of Higher Education, Malaysia",230,2
F4320334764,Japan Society for the Promotion of Science,407,2
F4320335322,European Regional Development Fund,327,2
F4320322392,Tsinghua University,164,2
F4320320300,European Commission,450,2
F4320327514,Beijing Institute of Technology Research Fund Program for Young Scholars,90,2
F4320316529,Jaguar Land Rover,31,2
F4320323086,Natural Science Foundation of Liaoning Province,164,2
F4320321108,Academy of Finland,299,2
F4320337345,Office of Naval Research,397,2
F4320332161,National Institutes of Health,880,1
F4320322816,Guangxi University for Nationalities,27,1
F4320325124,CYTED Ciencia y Tecnología para el Desarrollo,84,1
F4320321881,Shanghai Municipal Education Commission,202,1
