ID,publisher,publishedCount,avgCitation
S101949793,Sensors,3,7.333333333333333
S4210169774,IEEE Robotics and Automation Letters,3,0.33333333333333337
S4210199657,IEEE Transactions on Intelligent Vehicles,2,7.5
S2485537415,IEEE Access,2,1.0
S47380182,Mechatronics,1,3.0
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,1,1.0
S13144211,Expert Systems with Applications,1,15.0
S34881539,IEEE Transactions on Automation Science and Engineering,1,3.0
S151299380,Journal of Field Robotics,1,14.0
S133768115,Robotics and Autonomous Systems,1,117.0
S4210193350,Drones,1,7.0
S191329154,Displays,1,2.0
S192650101,Information Sciences,1,1.0
S2596760093,Frontiers in Physics,1,1.0
S4210172589,SSRN Electronic Journal,1,4.0
S144771191,IEEE Transactions on Intelligent Transportation Systems,1,0.0
S144620930,IEEE Transactions on Robotics,1,6.0
S4210169245,Aerospace,1,9.0
S10936095,IEEE Transactions on Vehicular Technology,1,2.0
S2595095599,Frontiers in Robotics and AI,1,2.0
