ID,name,hIndex,lastInstitution,numberOfWork
A5100608938,Bai Li,48,Chongqing University,13
A5114911316,Li Li,56,Beihang University,8
A5100416422,Youmin Zhang,83,Hodges University,6
A5072325655,Yakun Ouyang,9,Hunan University,6
A5100379486,Lu Xiong,30,Tongji University,5
A5011166267,Cyrill Stachniss,69,University of Bonn,5
A5053340150,Jun Ma,20,Changchun University of Science and Technology,4
A5100337582,Chen Wang,24,"University at Buffalo, State University of New York",4
A5001947944,Shaojie Shen,55,University of Hong Kong,4
A5031097117,Wanzhong Zhao,29,Nanjing University of Aeronautics and Astronautics,4
A5001947944,Shaojie Shen,55,Hong Kong University of Science and Technology,4
A5024866488,Runqi Chai,28,Beijing Institute of Technology,4
A5113600509,Fei‐Yue Wang,95,Hiroshima University,4
A5070349528,Senchun Chai,30,Beijing Institute of Technology,3
A5086914377,Fei Gao,31,Jilin University,3
A5038287028,Yunzhou Zhang,28,Northeastern University,3
A5068364473,Jens Behley,33,University of Bonn,3
A5085012064,Antonios Tsourdos,56,Cranfield University,3
A5100336450,Long Chen,50,Universidade de Vigo,3
A5073740136,Bo Leng,14,Tongji University,3
A5100336450,Long Chen,50,Guangxi University of Chinese Medicine,3
A5050543156,Chao Xu,37,Zhejiang University of Technology,3
A5016257935,Juntong Yun,24,Wuhan University of Science and Technology,3
A5016530495,Guozhang Jiang,41,Wuhan University of Science and Technology,3
A5101786213,Zhiqiang Fu,9,Tongji University,3
A5009572966,Dongpu Cao,60,Tsinghua University,3
A5084367490,Tankut Acarman,26,Galatasaray University,3
A5036776153,Zhuoren Li,5,Tongji University,3
A5064231378,Yuanqing Xia,79,Donghua University,3
A5100365448,Lihua Xie,111,China Tobacco,3
A5072073374,Chen Lv,64,Wuhan University,3
A5100357376,Weidong Chen,43,National University of Singapore,2
A5029835383,Dequan Zeng,9,East China Jiaotong University,2
A5100461686,Bo Liu,15,University of Science and Technology Beijing,2
A5039612456,Xuemin Chi,6,State Key Laboratory of Industrial Control Technology,2
A5027021748,Xin Liu,12,Yanshan University,2
A5001594330,Peter Stone,79,The University of Texas at Austin,2
A5081848769,Chao Huang,37,The University of Adelaide,2
A5039612456,Xuemin Chi,6,Zhejiang University,2
A5005614248,Farshad Arvin,29,Durham University,2
A5100670645,Jie Meng,22,Chinese Academy of Sciences,2
A5100670645,Jie Meng,22,Lanzhou Institute of Chemical Physics,2
A5017662025,Xuesu Xiao,22,George Mason University,2
A5038928126,Kenji Koide,17,National Institute of Advanced Industrial Science and Technology,2
A5067200719,Shuhuan Wen,18,Yanshan University,2
A5100886581,Zhijiang Shao,23,Zhejiang University,2
A5100430266,Hong Zhang,35,Tarim University,2
A5024900204,Masashi Yokozuka,11,National Institute of Advanced Industrial Science and Technology,2
A5100430266,Hong Zhang,35,Xinjiang Production and Construction Corps,2
A5082936279,Zhuoping Yu,26,Tongji University,2
