ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,101
F4320335777,National Key Research and Development Program of China,503,18
F4320335787,Fundamental Research Funds for the Central Universities,428,14
F4320322120,National Research Foundation of Korea,445,8
F4320321543,China Postdoctoral Science Foundation,421,8
F4320306076,National Science Foundation,783,7
F4320337504,Research and Development,139,4
F4320321681,"Ministry of Trade, Industry and Energy",192,4
F4320322795,"Ministry of Science and Technology, Taiwan",285,3
F4320321885,Science and Technology Commission of Shanghai Municipality,294,3
F4320322030,"Ministry of Science, ICT and Future Planning",259,3
F4320320766,Nanyang Technological University,212,3
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,3
F4320313831,Comunidad de Madrid,150,3
F4320324174,Natural Science Foundation of Shandong Province,251,3
F4320322769,Natural Science Foundation of Jiangsu Province,328,3
F4320334704,Australian Research Council,494,3
F4320306087,Semiconductor Research Corporation,137,2
F4320332999,Horizon 2020 Framework Programme,304,2
F4320322919,Natural Science Foundation of Beijing Municipality,296,2
F4320320994,Canada Research Chairs,241,2
F4320311649,Ministry of Education,116,2
F4320329553,Bundesministerium für Arbeit und Soziales,19,2
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,2
F4320320696,"Agency for Science, Technology and Research",223,2
F4320321309,University of Ulsan,50,2
F4320309618,Ministry of Science and Technology,165,2
F4320320879,Deutsche Forschungsgemeinschaft,566,2
F4320327777,Jiangsu Provincial Key Research and Development Program,100,2
F4320322857,Aeronautical Science Foundation of China,119,2
F4320335507,Toyota Motor Europe,28,2
F4320322930,Ministerio de Ciencia e Innovación,264,2
F4320309612,Natural Science Foundation of Shanghai,221,2
F4320326182,Six Talent Peaks Project in Jiangsu Province,145,2
F4320336567,Natural Science Basic Research Program of Shaanxi Province,87,2
F4320326180,Jiangsu Postdoctoral Research Foundation,49,1
F4320324278,Comisión Interministerial de Ciencia y Tecnología,116,1
F4320320663,Coventry University,47,1
F4320320997,Fundação de Amparo à Pesquisa do Estado de São Paulo,279,1
F4320316083,Tencent,51,1
F4320321878,Natural Science Foundation of Fujian Province,190,1
F4320322554,Javna Agencija za Raziskovalno Dejavnost RS,189,1
F4320321837,Ministerio de Economía y Competitividad,345,1
F4320334701,Joint Research Centre,82,1
F4320322108,Ministry of Science and Technology,136,1
F4320316529,Jaguar Land Rover,31,1
F4320322699,Universiti Kebangsaan Malaysia,150,1
F4320310614,Middle Tennessee State University,25,1
F4320338279,Air Force Office of Scientific Research,402,1
F4320313620,Hubei Provincial Department of Education,95,1
