ID,name,hIndex,lastInstitution,numberOfWork
A5100361751,Jun Li,18,Tsinghua University,10
A5100390719,Xinyu Zhang,24,Southern University of Science and Technology,9
A5057276700,Yingfeng Cai,44,Jiangsu University,6
A5100630554,Long Chen,48,China National Petroleum Corporation (China),6
A5100630554,Long Chen,48,Oil and Gas Center,6
A5100657987,Yicheng Li,23,Shanghai Zhangjiang Laboratory,6
A5100630554,Long Chen,48,Tarim University,6
A5100657987,Yicheng Li,23,Huazhong Agricultural University,6
A5100771674,Hai Wang,32,Jiangsu University,6
A5100362465,Xiangyu Zhang,72,Wuhan University,6
A5100362465,Xiangyu Zhang,72,Zero to Three,6
A5100353783,Xin Li,56,North China University of Science and Technology,5
A5090283032,Laura Leal-Taixé,45,Technical University of Munich,4
A5072073374,Chen Lv,64,Wuhan University,4
A5051595025,Jiahao Nie,12,Hangzhou Dianzi University,4
A5051595025,Jiahao Nie,12,Nanyang Technological University,4
A5047386824,Chenglu Wen,33,Xiamen University,4
A5001254143,Luc Van Gool,172,ETH Zurich,3
A5100700826,Runsheng Xu,18,University of Science and Technology Beijing,3
A5068219856,Mingyu Gao,22,Northwestern Polytechnical University,3
A5016606943,Andreas Geiger,85,Bernstein Center for Computational Neuroscience Tübingen,3
A5066373402,Siheng Chen,42,Shandong University,3
A5103027806,Yiming Cui,13,Fujian Agriculture and Forestry University,3
A5068374815,Jiaqi Ma,35,Zhongkai University of Agriculture and Engineering,3
A5103027806,Yiming Cui,13,Academy of Military Medical Sciences,3
A5100416961,Cheng Wang,63,Xiamen University,3
A5084499878,Wolfram Burgard,114,University of Technology Nuremberg,3
A5016606943,Andreas Geiger,85,University of Tübingen,3
A5002294104,Miguel Ángel Sotelo,47,Universidad de Alcalá,3
A5071050711,Hongzi Zhu,35,Shanghai Jiao Tong University,3
A5112113074,Bin Tian,31,Chinese Academy of Sciences,3
A5049449184,Gwanggil Jeon,50,Incheon National University,3
A5112113074,Bin Tian,31,Shandong Institute of Automation,3
A5066373402,Siheng Chen,42,Novel (United States),3
A5029628910,Imran Ahmed,36,Anglia Ruskin University,3
A5041101317,Huaping Liu,50,Tsinghua University,3
A5037191476,Xinggang Wang,67,Huazhong University of Science and Technology,3
A5066373402,Siheng Chen,42,Institute of Semiconductors,3
A5025512337,Hongkai Yu,25,Cleveland State University,3
A5100409062,Zhiwei Li,9,Beijing University of Chemical Technology,3
A5100336450,Long Chen,50,Guangxi University of Chinese Medicine,2
A5100336450,Long Chen,50,Universidade de Vigo,2
A5101793600,Yuang Zhang,10,Zhejiang University,2
A5046335655,Zhiwei He,20,China Agricultural University,2
A5064687463,Zheng Fang,20,Chengdu University of Technology,2
A5100699151,Chen Feng,45,Nanjing Medical University,2
A5012195474,Azzedine Boukerche,70,University of Ottawa,2
A5064687463,Zheng Fang,20,The Engineering & Technical College of Chengdu University of Technology,2
A5100687954,Yan Gong,23,Ministry of Agriculture and Rural Affairs,2
A5023724461,Dan Zeng,26,Shanghai University,2
