ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,106
F4320335777,National Key Research and Development Program of China,503,20
F4320335787,Fundamental Research Funds for the Central Universities,428,12
F4320321543,China Postdoctoral Science Foundation,421,6
F4320322795,"Ministry of Science and Technology, Taiwan",285,4
F4320322120,National Research Foundation of Korea,445,4
F4320321133,Chinese Academy of Sciences,439,4
F4320309612,Natural Science Foundation of Shanghai,221,3
F4320322186,Natural Science Foundation of Hubei Province,225,3
F4320326765,National Centre of Competence in Research Robotics,61,3
F4320322725,China Scholarship Council,394,3
F4320322919,Natural Science Foundation of Beijing Municipality,296,3
F4320323993,Natural Science Foundation of Tianjin City,223,3
F4320309480,Nvidia,127,2
F4320320671,National Research Foundation,228,2
F4320334627,Engineering and Physical Sciences Research Council,461,2
F4320322025,Conselho Nacional de Desenvolvimento Científico e Tecnológico,336,2
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,446,2
F4320338464,Natural Science Foundation of Zhejiang Province,269,2
F4320337504,Research and Development,139,2
F4320334764,Japan Society for the Promotion of Science,407,2
F4320321681,"Ministry of Trade, Industry and Energy",192,2
F4320335322,European Regional Development Fund,327,2
F4320323172,Natural Science Foundation of Chongqing,153,2
F4320328899,China University of Geosciences,46,1
F4320325408,Fuzhou University,86,1
F4320330214,Key Research and Development Program of Hunan Province of China,69,1
F4320321592,"Research Grants Council, University Grants Committee",277,1
F4320323086,Natural Science Foundation of Liaoning Province,164,1
F4320335563,"State Administration for Science, Technology and Industry for National Defense",42,1
F4320335791,"Beijing Advanced Innovation Center for Intelligent Robots and Systems, Beijing Institute of Technology",41,1
F4320322769,Natural Science Foundation of Jiangsu Province,328,1
F4320313620,Hubei Provincial Department of Education,95,1
F4320324098,Taiyuan University of Technology,54,1
F4320320883,Agence Nationale de la Recherche,341,1
F4320307802,Toyota USA,28,1
F4320335773,National High-tech Research and Development Program,133,1
F4320311028,Natural Science Foundation of Xinjiang Province,63,1
F4320324638,Wuhan University of Technology,100,1
F4320321106,Ministry of Education of the People's Republic of China,424,1
F4320322437,National Science and Technology Development Agency,116,1
F4320319993,Leverhulme Trust,246,1
F4320321920,Innovation and Technology Commission,159,1
F4320334983,Basic Research Programs of Sichuan Province,45,1
F4320321112,Eberhard Karls Universität Tübingen,69,1
F4320321769,Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China,103,1
F4320310931,Capital Normal University,45,1
F4320336823,Science Fund for Distinguished Young Scholars of Tianjin,42,1
F4320336756,Tianjin Science and Technology Program,65,1
F4320336744,Science and Technology Program of Hubei Province,35,1
