ID,publisher,publishedCount,avgCitation
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,3,10.666666666666668
S4210169774,IEEE Robotics and Automation Letters,3,9.333333333333334
S144771191,IEEE Transactions on Intelligent Transportation Systems,2,11.5
S13144211,Expert Systems with Applications,1,3.0
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,1,3.0
S189694085,IEEE Sensors Journal,1,17.0
S133768115,Robotics and Autonomous Systems,1,7.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,1,0.0
S144620930,IEEE Transactions on Robotics,1,6.0
S121340289,Computers & Electrical Engineering,1,2.0
S45693802,Neurocomputing,1,6.0
S111326731,IEEE Transactions on Geoscience and Remote Sensing,1,12.0
