ID,publisher,hIndex
S106296714,Lecture notes in computer science,683
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,542
S4306417987,Computer Vision and Pattern Recognition,533
S4363607701,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),384
S4210173141,IEEE Transactions on Image Processing,380
S4306419272,International Conference on Computer Vision,371
S111326731,IEEE Transactions on Geoscience and Remote Sensing,364
S4306420609,Neural Information Processing Systems,361
S13144211,Expert Systems with Applications,331
S2485537415,IEEE Access,326
S4306419644,International Conference on Machine Learning,325
S185367456,ACM Transactions on Graphics,314
S4306419250,International Conference on Computer Graphics and Interactive Techniques,309
S414566,Pattern Recognition,298
S25538012,International Journal of Computer Vision,285
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,282
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,279
S4306419799,International Conference on Robotics and Automation,274
S192650101,Information Sciences,269
S30698027,IEEE Transactions on Knowledge and Data Engineering,261
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),260
S73484101,The International Journal of Robotics Research,254
S123019304,Neural Networks,244
S45693802,Neurocomputing,242
S4210191041,IEEE Transactions on Cybernetics,228
S4210175523,IEEE Transactions on Neural Networks and Learning Systems,226
S4306419999,International Joint Conference on Artificial Intelligence,224
S140556538,Applied Soft Computing,224
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,221
S144620930,IEEE Transactions on Robotics,219
S151820558,Pattern Recognition Letters,216
S115173108,IEEE Transactions on Circuits and Systems for Video Technology,213
S10169007,Knowledge-Based Systems,209
S4210170378,IEEE Transactions on Systems Man and Cybernetics Part B (Cybernetics),201
S84775595,IEEE Transactions on Visualization and Computer Graphics,199
S7560371,Information Fusion,195
S137030581,IEEE Transactions on Multimedia,183
S177430994,Image and Vision Computing,179
S185008460,Computer Vision and Image Understanding,176
S147897268,Neural Computing and Applications,173
S99003644,Photogrammetric Engineering & Remote Sensing,173
S133768115,Robotics and Autonomous Systems,172
S122814990,Artificial Intelligence Review,170
S4306419637,International Conference on Learning Representations,170
S90119964,ACM Transactions on Database Systems,169
S900972176,Engineering Applications of Artificial Intelligence,168
S126920919,IEEE Geoscience and Remote Sensing Letters,166
S67831204,Computer Graphics Forum,164
S4306419523,International Conference on Image Processing,160
S144091109,Autonomous Robots,149
