ID,paperTitle,year,publisher,citationCount
W3153465022,PCT: Point cloud transformer,2021,Computational Visual Media,1458
W3118341329,Voxel R-CNN: Towards High Performance Voxel-based 3D Object Detection,2021,Proceedings of the AAAI Conference on Artificial Intelligence,688
W3133648073,"FAST-LIO: A Fast, Robust LiDAR-Inertial Odometry Package by Tightly-Coupled Iterated Kalman Filter",2021,IEEE Robotics and Automation Letters,559
W4200268060,Conference on Computer Vision and Pattern Recognition (CVPR) 2022,2021,The Photogrammetric Record,523
W4312878643,NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),423
W3165610079,"ORB-SLAM3: An Accurate Open-Source Library for Visual, Visual–Inertial, and Multimap SLAM",2021,IEEE Transactions on Robotics,416
W4214777292,Voxel Transformer for 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),363
W4214768561,iMAP: Implicit Mapping and Positioning in Real-Time,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),361
W3166470370,3D Object Detection with Pointformer,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),357
W4211154833,A Comprehensive Survey of Visual SLAM Algorithms,2022,Robotics,287
W4214526701,Group-Free 3D Object Detection via Transformers,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),214
W3119708198,Self-Supervised Pretraining of 3D Features on any Point-Cloud,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),213
W3137210930,RPVNet: A Deep and Efficient Range-Point-Voxel Fusion Network for LiDAR Point Cloud Segmentation,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),210
W3205586691,Point Transformer,2021,IEEE Access,200
W4315778466,"KISS-ICP: In Defense of Point-to-Point ICP – Simple, Accurate, and Robust Registration If Done the Right Way",2023,IEEE Robotics and Automation Letters,195
W3199184510,"R<sup>3</sup>LIVE: A Robust, Real-time, RGB-colored, LiDAR-Inertial-Visual tightly-coupled state Estimation and mapping package",2022,2022 International Conference on Robotics and Automation (ICRA),185
W4312903973,Surface Representation for Point Clouds,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),176
W4306175953,Point Transformer V2: Grouped Vector Attention and Partition-based Pooling,2022,arXiv (Cornell University),161
W3201719054,Pyramid R-CNN: Towards Better Performance and Adaptability for 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),144
W3203066970,CT-ICP: Real-time Elastic LiDAR Odometry with Loop Closure,2022,2022 International Conference on Robotics and Automation (ICRA),142
