ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,22,61.31818181818181
S2485537415,IEEE Access,10,38.2
S43295729,Remote Sensing,6,24.833333333333332
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,6,20.333333333333332
S101949793,Sensors,6,22.5
S140111354,The Photogrammetric Record,5,113.4
S144771191,IEEE Transactions on Intelligent Transportation Systems,5,30.4
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,5,180.4
S137030581,IEEE Transactions on Multimedia,4,10.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,4,41.75
S10892749,IEEE Transactions on Instrumentation and Measurement,4,18.75
S111326731,IEEE Transactions on Geoscience and Remote Sensing,3,58.0
S4210199657,IEEE Transactions on Intelligent Vehicles,3,23.0
S74726891,Applied Intelligence,3,18.333333333333336
S73484101,The International Journal of Robotics Research,3,55.0
S414566,Pattern Recognition,3,79.33333333333333
S96783963,Journal of Sensors,2,58.5
S25538012,International Journal of Computer Vision,2,50.0
S144620930,IEEE Transactions on Robotics,2,215.5
S189694085,IEEE Sensors Journal,2,12.5
