ID,name,hIndex,lastInstitution,numberOfWork
A5100460011,Fu Zhang,34,Universidad del Noreste,6
A5032262344,Xieyuanli Chen,25,National University of Defense Technology,5
A5011166267,Cyrill Stachniss,69,University of Bonn,5
A5108050395,Jiayuan Li,35,Xiamen University,5
A5100772177,Bisheng Yang,46,Wuhan University,4
A5108625236,Yongjun Zhang,44,Beijing University of Posts and Telecommunications,4
A5100772177,Bisheng Yang,46,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,4
A5034945418,Qingwu Hu,30,Wuhan University,4
A5075507724,Jianping Li,79,Ocean University of China,4
A5059521863,Hyun Myung,36,Korea Advanced Institute of Science and Technology,3
A5042186658,Ali‐akbar Agha‐mohammadi,33,Jet Propulsion Laboratory,3
A5041977264,Chongjian Yuan,10,University of Hong Kong,3
A5100668197,Pengcheng Shi,15,Harbin Institute of Technology,3
A5100668197,Pengcheng Shi,15,Shenzhen Institute of Information Technology,3
A5038928126,Kenji Koide,17,National Institute of Advanced Industrial Science and Technology,3
A5039972852,Shuji Oishi,33,National Institute of Advanced Industrial Science and Technology,3
A5068364473,Jens Behley,33,University of Bonn,3
A5001947944,Shaojie Shen,55,Hong Kong University of Science and Technology,3
A5024900204,Masashi Yokozuka,11,National Institute of Advanced Industrial Science and Technology,3
A5035592893,Weitong Wu,11,Hohai University,3
A5024293197,Mingyao Ai,22,Wuhan University,3
A5001947944,Shaojie Shen,55,University of Hong Kong,3
A5078435846,Atsuhiko Banno,16,National Institute of Advanced Industrial Science and Technology,3
A5056112272,Viktor Larsson,27,Lund University,2
A5100724297,Yong Liu,53,"Agency for Science, Technology and Research",2
A5107772128,Hesheng Wang,46,Shanghai Jiao Tong University,2
A5009698718,Yan Zhuang,27,Dalian University of Technology,2
A5100348222,Yuhao Li,9,Wuhan University,2
A5100724297,Yong Liu,53,Institute of High Performance Computing,2
A5030733231,Juan D. Tardós,46,Universidad de Zaragoza,2
A5081024054,Dragomir Anguelov,47,Nomor Research (Germany),2
A5010637110,Niki Trigoni,57,University of Oxford,2
A5077817769,Hyungtae Lim,15,Massachusetts Institute of Technology,2
A5077817769,Hyungtae Lim,15,Decision Systems (United States),2
A5108137333,Andrew J. Davison,67,New South Wales Department of Health,2
A5000117252,Yin Zhou,30,Shenyang Agricultural University,2
A5032584934,Sebastian Scherer,47,Carnegie Mellon University,2
A5088751649,Xin Yang,33,Dalian University of Technology,2
A5029784526,Zikang Yuan,5,Huazhong University of Science and Technology,2
A5042157108,Luca Carlone,48,Massachusetts Institute of Technology,2
A5084344419,Chunran Zheng,7,University of Hong Kong,2
A5021908609,Marc Pollefeys,108,ETH Zurich,2
A5022152675,Jun Cheng,8,Anhui Polytechnic University,2
A5070096266,Zhen Dong,34,Zhengzhou University,2
A5084344419,Chunran Zheng,7,Chinese University of Hong Kong,2
A5040640817,Martin R. Oswald,26,University of Amsterdam,2
A5040761750,Wei Xu,22,Anhui University of Finance and Economics,2
A5027357870,Charles R. Qi,32,Nomor Research (Germany),2
A5100348222,Yuhao Li,9,The Sixth People's Hospital of Zhengzhou,2
A5060183988,Andrew Markham,53,University of Oxford,2
