ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,80
F4320335777,National Key Research and Development Program of China,503,15
F4320321543,China Postdoctoral Science Foundation,421,10
F4320320879,Deutsche Forschungsgemeinschaft,566,6
F4320322120,National Research Foundation of Korea,445,6
F4320332999,Horizon 2020 Framework Programme,304,5
F4320334704,Australian Research Council,494,5
F4320335787,Fundamental Research Funds for the Central Universities,428,5
F4320322725,China Scholarship Council,394,4
F4320322030,"Ministry of Science, ICT and Future Planning",259,3
F4320334627,Engineering and Physical Sciences Research Council,461,3
F4320334593,Natural Sciences and Engineering Research Council of Canada,478,3
F4320322769,Natural Science Foundation of Jiangsu Province,328,3
F4320322919,Natural Science Foundation of Beijing Municipality,296,3
F4320321108,Academy of Finland,299,2
F4320334631,Natural Environment Research Council,290,2
F4320326938,"State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing",35,2
F4320334977,Beijing Municipal Natural Science Foundation,135,2
F4320320967,University of Technology Sydney,114,2
F4320321133,Chinese Academy of Sciences,439,2
F4320307103,Ford Motor Company,75,2
F4320321885,Science and Technology Commission of Shanghai Municipality,294,2
F4320321145,King Saud University,178,2
F4320321030,VINNOVA,151,2
F4320335254,Horizon 2020,246,2
F4320327207,Electronic Components and Systems for European Leadership,52,2
F4320323993,Natural Science Foundation of Tianjin City,223,2
F4320309480,Nvidia,127,2
F4320334779,Fundação para a Ciência e a Tecnologia,290,2
F4320322795,"Ministry of Science and Technology, Taiwan",285,2
F4320320300,European Commission,450,2
F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,121,2
F4320336125,National Science Fund for Distinguished Young Scholars,181,2
F4320335765,National Key Scientific Instrument and Equipment Development Projects of China,78,1
F4320325902,Beijing Municipal Science and Technology Commission,195,1
F4320334789,Japan Science and Technology Agency,274,1
F4320334764,Japan Society for the Promotion of Science,407,1
F4320321940,Harbin Institute of Technology,134,1
F4320321681,"Ministry of Trade, Industry and Energy",192,1
F4320320873,Friedrich-Alexander-Universität Erlangen-Nürnberg,74,1
F4320325408,Fuzhou University,86,1
F4320309612,Natural Science Foundation of Shanghai,221,1
F4320335773,National High-tech Research and Development Program,133,1
F4320322510,Sapienza Università di Roma,96,1
F4320335322,European Regional Development Fund,327,1
F4320321881,Shanghai Municipal Education Commission,202,1
F4320315934,Toyota Research Institute,74,1
F4320321759,Stiftelsen för Kunskaps- och Kompetensutveckling,58,1
F4320321994,Hungarian Scientific Research Fund,169,1
F4320327518,Priority Academic Program Development of Jiangsu Higher Education Institutions,269,1
