ID,name,hIndex,workCountInTopic
F4320321001,National Natural Science Foundation of China,728,42
F4320321543,China Postdoctoral Science Foundation,421,8
F4320335777,National Key Research and Development Program of China,503,6
F4320320879,Deutsche Forschungsgemeinschaft,566,5
F4320335787,Fundamental Research Funds for the Central Universities,428,4
F4320334704,Australian Research Council,494,4
F4320322120,National Research Foundation of Korea,445,4
F4320334627,Engineering and Physical Sciences Research Council,461,3
F4320332999,Horizon 2020 Framework Programme,304,3
F4320323993,Natural Science Foundation of Tianjin City,223,2
F4320322795,"Ministry of Science and Technology, Taiwan",285,2
F4320322919,Natural Science Foundation of Beijing Municipality,296,2
F4320335254,Horizon 2020,246,2
F4320326938,"State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing",35,2
F4320321885,Science and Technology Commission of Shanghai Municipality,294,2
F4320322725,China Scholarship Council,394,2
F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province,121,2
F4320334977,Beijing Municipal Natural Science Foundation,135,2
F4320335833,National Defense Basic Scientific Research Program of China,65,1
F4320322699,Universiti Kebangsaan Malaysia,150,1
F4320322265,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",16,1
F4320334631,Natural Environment Research Council,290,1
F4320338345,H2020 Transport,34,1
F4320335957,Major Science and Technology Project of Hainan Province,56,1
F4320333335,Sichuan Province Science and Technology Support Program,134,1
F4320321681,"Ministry of Trade, Industry and Energy",192,1
F4320335773,National High-tech Research and Development Program,133,1
F4320322510,Sapienza Università di Roma,96,1
F4320323444,Autoritatea Natională pentru Cercetare Stiintifică,67,1
F4320321034,New Energy and Industrial Technology Development Organization,154,1
F4320309612,Natural Science Foundation of Shanghai,221,1
F4320325902,Beijing Municipal Science and Technology Commission,195,1
F4320321940,Harbin Institute of Technology,134,1
F4320327518,Priority Academic Program Development of Jiangsu Higher Education Institutions,269,1
F4320336744,Science and Technology Program of Hubei Province,35,1
F4320309480,Nvidia,127,1
F4320320967,University of Technology Sydney,114,1
F4320326870,State Key Laboratory of Advanced Design and Manufacturing for Vehicle Body,57,1
F4320327777,Jiangsu Provincial Key Research and Development Program,100,1
F4320335507,Toyota Motor Europe,28,1
F4320320300,European Commission,450,1
F4320337504,Research and Development,139,1
F4320320873,Friedrich-Alexander-Universität Erlangen-Nürnberg,74,1
F4320322064,Korea Institute for Advancement of Technology,91,1
F4320321145,King Saud University,178,1
F4320335766,Shanghai Leading Academic Discipline Project,86,1
F4320321759,Stiftelsen för Kunskaps- och Kompetensutveckling,58,1
F4320335322,European Regional Development Fund,327,1
F4320322769,Natural Science Foundation of Jiangsu Province,328,1
F4320336125,National Science Fund for Distinguished Young Scholars,181,1
