ID,name,country,hIndex,workCountInTopic
I37461747,Wuhan University,CN,463,89
I4210118728,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,CN,177,33
I4210156423,National Engineering Research Center for Information Technology in Agriculture,CN,122,21
I4210128910,Group Sense (China),HK,138,18
I2800111664,State Scientific Research Institute of Aviation Systems,RU,20,7
I94624287,University of Twente,NL,451,6
I4210126639,Valeo (Ireland),IE,32,6
I4210127558,Australian Centre for Robotic Vision,AU,127,6
I4210135175,Hefei Institute of Technology Innovation,CN,41,5
I4210148944,Dà-Jiāng Innovations Science and Technology (China),CN,34,5
I4210166615,INESC TEC,PT,136,5
I6289922,Universidade de Vigo,ES,286,5
I4210112099,Valeo (Germany),DE,21,4
I4210137199,Aerospace Information Research Institute,CN,119,4
I4210117254,Konya Technical University,TR,64,4
I4210166112,State Key Laboratory of Remote Sensing Science,CN,179,3
I4210125392,Centre for Automation and Robotics,ES,77,3
I54108979,Norwegian University of Life Sciences,NO,288,3
I156918239,Intertek (Canada),CA,57,3
I47689461,Northeast Forestry University,CN,189,2
I4210093981,Agricultural Information Institute,CN,57,2
I4210111171,Ibeo Automotive Systems (Germany),DE,19,2
I33876163,Finnish Geospatial Research Institute,FI,112,2
I4210163147,Traffic Management Research Institute,CN,24,2
I144563777,Maxar Technologies (United States),US,30,2
I4210151155,Academy of Opto-Electronics,CN,55,2
I38706770,Guilin University of Technology,CN,131,2
I2277624104,Fondazione Bruno Kessler,IT,161,2
I175532246,University of Eastern Finland,FI,407,2
I4387153582,University of Technology Nuremberg,,11,1
I4210155076,Daimler Center for Automotive Information Technology Innovations,DE,17,1
I4403386650,Centre de Robotique,,51,1
I4210164829,Sensatech Designs (United Kingdom),GB,6,1
I4210148872,Magic Leap (United States),US,24,1
I4210107815,Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality,CN,57,1
I4210141657,Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application,CN,119,1
I31683504,Beijing Forestry University,CN,217,1
I4210122994,Akka Technologies (France),FR,19,1
I4210139986,Microsoft (Switzerland),CH,31,1
I4401726997,Tusimple (United States),,7,1
