ID,paperTitle,year,publisher,citationCount
W4210423514,FAST-LIO2: Fast Direct LiDAR-Inertial Odometry,2022,IEEE Transactions on Robotics,745
W3015248322,Deep Learning for Image and Point Cloud Fusion in Autonomous Driving: A Review,2021,IEEE Transactions on Intelligent Transportation Systems,382
W3203597819,KITTI-360: A Novel Dataset and Benchmarks for Urban Scene Understanding in 2D and 3D,2022,IEEE Transactions on Pattern Analysis and Machine Intelligence,372
W4225986494,DeepFusion: Lidar-Camera Deep Fusion for Multi-Modal 3D Object Detection,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),325
W3173112500,Automotive LiDAR Technology: A Survey,2021,IEEE Transactions on Intelligent Transportation Systems,292
W2217105717,Automatic Targetless Extrinsic Calibration of a 3D Lidar and Camera by Maximizing Mutual Information,2021,Proceedings of the AAAI Conference on Artificial Intelligence,223
W4205905582,UAV in the advent of the twenties: Where we stand and what is next,2022,ISPRS Journal of Photogrammetry and Remote Sensing,218
W3183685035,Pixel-Level Extrinsic Self Calibration of High Resolution LiDAR and Camera in Targetless Environments,2021,IEEE Robotics and Automation Letters,214
W3167732492,LiDAR R-CNN: An Efficient and Universal 3D Object Detector,2021,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),198
W3136022415,RangeDet: In Defense of Range View for LiDAR-based 3D Object Detection,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),193
W4206706039,A Comprehensive Survey of the Recent Studies with UAV for Precision Agriculture in Open Fields and Greenhouses,2022,Applied Sciences,181
W4292544413,Faster-LIO: Lightweight Tightly Coupled Lidar-Inertial Odometry Using Parallel Sparse Incremental Voxels,2022,IEEE Robotics and Automation Letters,171
W4306175953,Point Transformer V2: Grouped Vector Attention and Partition-based Pooling,2022,arXiv (Cornell University),161
W3133767727,BALM: Bundle Adjustment for Lidar Mapping,2021,IEEE Robotics and Automation Letters,154
W3168086592,LCDNet: Deep Loop Closure Detection and Point Cloud Registration for LiDAR SLAM,2022,IEEE Transactions on Robotics,145
W3011098590,Deep Hough Transform for Semantic Line Detection,2021,IEEE Transactions on Pattern Analysis and Machine Intelligence,142
W3210701025,A Novel Spatio-Temporal Synchronization Method of Roadside Asynchronous MMW Radar-Camera for Sensor Fusion,2021,IEEE Transactions on Intelligent Transportation Systems,135
W4210674219,Multi-Class Road User Detection With 3+1D Radar in the View-of-Delft Dataset,2022,IEEE Robotics and Automation Letters,132
W3159400523,Super Odometry: IMU-centric LiDAR-Visual-Inertial Estimator for Challenging Environments,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),118
W4313484219,Argoverse 2: Next Generation Datasets for Self-Driving Perception and Forecasting,2023,arXiv (Cornell University),116
