ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,17,57.17647058823529
S101949793,Sensors,12,19.25
S4210199657,IEEE Transactions on Intelligent Vehicles,8,28.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,8,99.0
S144771191,IEEE Transactions on Intelligent Transportation Systems,8,112.5
S43295729,Remote Sensing,7,28.428571428571427
S111326731,IEEE Transactions on Geoscience and Remote Sensing,5,46.2
S10892749,IEEE Transactions on Instrumentation and Measurement,5,22.8
S173339282,ISPRS Journal of Photogrammetry and Remote Sensing,5,55.2
S2485537415,IEEE Access,4,44.0
S10936095,IEEE Transactions on Vehicular Technology,3,13.0
S144620930,IEEE Transactions on Robotics,3,322.3333333333333
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,3,108.33333333333334
S13144211,Expert Systems with Applications,3,14.333333333333334
S189694085,IEEE Sensors Journal,3,27.666666666666668
S140111354,The Photogrammetric Record,3,13.0
S4210172589,SSRN Electronic Journal,2,2.0
S25538012,International Journal of Computer Vision,2,50.0
S73484101,The International Journal of Robotics Research,2,68.0
S414566,Pattern Recognition,2,51.5
