ID,name,hIndex,lastInstitution,numberOfWorkInTopic
A5033042071,Juha Hyyppä,84,Finnish Geospatial Research Institute,526
A5100613889,Jonathan Li,76,University of Waterloo,334
A5081275712,Norbert Pfeifer,55,TU Wien,289
A5053008757,Uwe Stilla,49,Technical University of Munich,246
A5043014786,Harri Kaartinen,56,Finnish Geospatial Research Institute,208
A5100416961,Cheng Wang,63,Xiamen University,195
A5025841679,Fabio Remondino,61,Fondazione Bruno Kessler,194
A5045584015,Antero Kukko,51,Finnish Geospatial Research Institute,182
A5086428184,George Vosselman,56,University of Twente,175
A5044033108,Mathias Disney,57,University College London,169
A5100772177,Bisheng Yang,46,Wuhan University,162
A5100772177,Bisheng Yang,46,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,162
A5059928575,Roderik Lindenbergh,37,Delft University of Technology,155
A5002336145,Pedro Arias,53,Universidade de Vigo,147
A5004682321,Kim Calders,45,Ghent University,139
A5014968449,Qinghua Guo,64,Peking University,130
A5010833142,Eija Honkavaara,44,Finnish Geospatial Research Institute,128
A5033807047,Franz Rottensteiner,39,Leibniz University Hannover,117
A5010635267,Derek D. Lichti,40,University of Calgary,115
A5001898964,Clément Mallet,34,Université Gustave Eiffel,111
A5070096266,Zhen Dong,34,Zhengzhou University,106
A5018647935,Charles Toth,29,The Ohio State University,103
A5020713851,Guijun Yang,60,Zhengzhou University of Light Industry,101
A5059990087,Sander Oude Elberink,31,University of Twente,100
A5071001999,Marco Scaioni,38,Politecnico di Milano,100
A5083755109,Yanjun Su,47,Chinese Academy of Sciences,99
A5083755109,Yanjun Su,47,Institute of Botany,99
A5083755109,Yanjun Su,47,Beijing Botanical Garden,99
A5034472952,Craig Glennie,37,University of Houston,98
A5068384981,Xiao Xiang Zhu,79,Munich Center for Machine Learning,98
A5068384981,Xiao Xiang Zhu,79,Technical University of Munich,98
A5003580485,Kourosh Khoshelham,39,The University of Melbourne,98
A5046864745,M. Gerke,38,Technische Universität Braunschweig,94
A5031481665,L. Díaz−Vilariño,29,Universidade de Vigo,91
A5105206953,Ryosuke Shibasaki,53,The University of Tokyo,88
A5009407093,Ioannis Brilakis,55,University of Cambridge,87
A5036846355,Gunho Sohn,26,York University,86
A5059040421,Biswajeet Pradhan,137,University of Technology Sydney,86
A5100644664,Wenzhong Shi,62,Shenzhen Polytechnic,86
A5100644664,Wenzhong Shi,62,Hong Kong Polytechnic University,86
A5043731325,Jie Shan,43,Southeast University,85
A5013633154,Francesco Nex,39,University of Twente,84
A5005404030,Konrad Schindler,72,ETH Zurich,84
A5011166267,Cyrill Stachniss,69,University of Bonn,82
A5051884519,Luigi Barazzetti,36,Politecnico di Milano,80
A5091199937,H. González-Jorge,32,Universidade de Vigo,79
A5035056634,Haiyan Guan,36,Nanjing University of Information Science and Technology,78
A5100382142,Xiaolu Li,18,Beihang University,78
A5101647875,Ruisheng Wang,30,First Affiliated Hospital of Henan University,78
A5013978713,Joaquín Martínez-Sánchez,29,Universidad de Guanajuato,78
